Name,Location,AvgPrice,Currency,Cuisine,MICHELINStars
Yannick Alléno à l’Hôtel Hermitage Monte-Carlo,Monaco,235,EUR,"Modern Cuisine, Creative",1
Le Blue Bay,Monaco,180,EUR,Creative,1
Yoshi,Monaco,240,EUR,Japanese,1
Le Grill,Monaco,210,EUR,Classic Cuisine,1
Le Georges,Chartres,124,EUR,Modern Cuisine,1
Pages,Paris,220,EUR,Creative,1
L'Arcane,Paris,165,EUR,Modern Cuisine,1
Hostellerie de Levernois,Levernois,149,EUR,Modern Cuisine,1
Trente-Trois,Paris,118,EUR,Modern Cuisine,1
L'Auberge de Bagatelle,Le Mans,105,EUR,Modern Cuisine,1
Mavrommatis,Paris,135,EUR,Greek,1
Reflet d'Obione,Montpellier,95,EUR,"Modern Cuisine, Mediterranean Cuisine",1
Côté Jardin,Gien,90,EUR,"Creative, Modern Cuisine",1
L'Ardoise du Marché,Boulleret,75,EUR,"Modern Cuisine, Creative",1
Le Duèze - Château de Mercuès,Mercuès,185,EUR,Modern Cuisine,1
Cyril Attrazic,Aumont-Aubrac,120,EUR,Modern Cuisine,1
Le Saint-Estève,Le Tholonet,185,EUR,Modern Cuisine,1
Abri,Paris,70,EUR,Modern Cuisine,1
Le Cénacle,Toulouse,115,EUR,Modern Cuisine,1
Le Vieux Logis,Trémolat,140,EUR,Modern Cuisine,1
L'Amaryllis,Saint-Rémy,130,EUR,Creative,1
Yoshinori,Paris,150,EUR,Modern Cuisine,1
À Contre Sens,Caen,72,EUR,Modern Cuisine,1
Intuition,Saint-Lô,84,EUR,Modern Cuisine,1
Le Restaurant du Cerisier,Lille,110,EUR,Modern Cuisine,1
The Marcel,Sète,102,EUR,"Mediterranean Cuisine, Modern Cuisine",1
Têtedoie,Lyon,140,EUR,Creative,1
Au Vieux Couvent,Rhinau,144,EUR,Creative,1
Holen,Rennes,105,EUR,Market Cuisine,1
Dan B. - La Table de Ventabren,Ventabren,135,EUR,Modern Cuisine,1
La Chaumière,Dole,120,EUR,Creative,1
La Mirande,Avignon,190,EUR,Modern Cuisine,1
Restaurant De Lauzun,Pézenas,115,EUR,Modern Cuisine,1
L'Épuisette,Marseille,155,EUR,Seafood,1
Jacques Faussat,Paris,114,EUR,Traditional Cuisine,1
Auberge de la Tour,Marcolès,109,EUR,Modern Cuisine,1
Shabour,Paris,96,EUR,Creative,1
NESO,Paris,180,EUR,Creative,1
Le Chantecler,Nice,190,EUR,Modern Cuisine,1
Le Quincangrogne,Dampmart,95,EUR,Modern Cuisine,1
Château de la Treyne,Lacave,170,EUR,Classic Cuisine,1
Auberge St-Jean,Saint-Jean-de-Blaignac,88,EUR,Creative,1
Umami,Strasbourg,75,EUR,Creative,1
G.a. au Manoir de Rétival,Caudebec-en-Caux,250,EUR,"Modern Cuisine, Creative",1
Brikéténia,Guéthary,108,EUR,Modern Cuisine,1
Jean-Claude Leclerc,Clermont-Ferrand,120,EUR,Modern Cuisine,1
Villa Salone,Salon-de-Provence,98,EUR,Modern Cuisine,1
La Meynardie,Salignac-Eyvigues,93,EUR,Modern Cuisine,1
Aigue Marine,Tréguier,120,EUR,Creative,1
Le Bec au Cauchois,Valmont,104,EUR,Creative,1
L'Éveil des Sens,Mayenne,82,EUR,Modern Cuisine,1
La Table de Chaintré,Chaintré,69,EUR,Modern Cuisine,1
L'Innocence,Paris,95,EUR,"Modern Cuisine, Creative",1
Äponem - Auberge du Presbytère,Vailhan,125,EUR,Modern Cuisine,1
Auberge du Cellier,Montner,85,EUR,Modern Cuisine,1
L'Escarbille,Meudon,83,EUR,Modern Cuisine,1
L'Atelier Yssoirien,Issoire,110,EUR,Modern Cuisine,1
La Table des Frères Ibarboure,Bidart,130,EUR,Modern Cuisine,1
Tomy & Co,Paris,85,EUR,"Modern Cuisine, Creative",1
Tour d'Argent,Paris,380,EUR,Modern Cuisine,1
Jean-Marc Pérochon,Bretignolles-sur-Mer,116,EUR,Modern Cuisine,1
Restaurant H,Paris,95,EUR,Creative,1
Le Mas Bottero,Saint-Cannat,90,EUR,Modern Cuisine,1
L'Oiseau Bleu,Bordeaux,110,EUR,Modern Cuisine,1
Kasbür,Monswiller,115,EUR,Modern Cuisine,1
Pastis,Montpellier,57,EUR,Modern Cuisine,1
Pierre,Mâcon,108,EUR,Classic Cuisine,1
Aida,Paris,280,EUR,Japanese,1
L'Aspérule,Dijon,120,EUR,Modern Cuisine,1
Le Patio,Arcachon,130,EUR,Modern Cuisine,1
Entre Vigne et Garrigue,Pujaut,135,EUR,Modern Cuisine,1
Le Panoramique - Domaine de la Corniche,Rolleboise,98,EUR,Modern Cuisine,1
U Santa Marina,Porto-Vecchio,165,EUR,Modern Cuisine,1
Quinsou,Paris,122,EUR,Creative,1
L'Orchidée,Altkirch,95,EUR,"Thai, Asian Contemporary",1
L'Arbre au Soleil,Le Lavandou,109,EUR,Modern Cuisine,1
L'Aromate,Nice,120,EUR,Modern Cuisine,1
L'Auberge de Montmin,Talloires-Montmin,110,EUR,Traditional Cuisine,1
Le Moulin de l'Abbaye,Brantôme,120,EUR,Modern Cuisine,1
Les Plaisirs Gourmands,Schiltigheim,92,EUR,Modern Cuisine,1
L'Impertinent,Biarritz,112,EUR,Creative,1
Domaine d'Auriac,Carcassonne,140,EUR,Classic Cuisine,1
Le Violon d'Ingres,Paris,140,EUR,"Traditional Cuisine, Classic Cuisine",1
La Chapelle - Château Saint-Jean,Montluçon,195,EUR,Modern Cuisine,1
Thierry Schwartz - Le Restaurant,Obernai,155,EUR,Creative,1
Stéphane Tournié,Toulouse,110,EUR,Modern Cuisine,1
Le Pavillon des Boulevards,Bordeaux,140,EUR,Creative,1
Les Trois Dômes,Lyon,170,EUR,Modern Cuisine,1
Castel Marie-Louise,La Baule,125,EUR,Modern Cuisine,1
L'Atelier du Peintre,Colmar,110,EUR,"Creative, Modern Cuisine",1
La Grange de Belle-Église,Belle-Église,167,EUR,Classic Cuisine,1
La Marande,Montbellet,105,EUR,Modern Cuisine,1
L'Or Q'idée,Pontoise,83,EUR,Modern Cuisine,1
L'Essentiel,Périgueux,130,EUR,Modern Cuisine,1
Apicius,Paris,330,EUR,Modern Cuisine,1
Côté Cuisine,Carnac,70,EUR,Modern Cuisine,1
La Table du Boisniard,Chambretaud,90,EUR,Creative,1
L'Écrin,Paris,735,EUR,Creative,1
Alain Llorca,La Colle-sur-Loup,185,EUR,Provençal,1
La Table de l'Ours,Val-d'Isère,165,EUR,Modern Cuisine,1
Saisons,Marseille,95,EUR,Modern Cuisine,1
La Bastide de Moustiers,Moustiers-Sainte-Marie,98,EUR,Provençal,1
La Vieille Fontaine,Avignon,180,EUR,Modern Cuisine,1
Baieta,Paris,105,EUR,Mediterranean Cuisine,1
Hostellerie Les Gorges de Pennafort,Callas,170,EUR,Traditional Cuisine,1
Le Prieuré,Villeneuve-lès-Avignon,117,EUR,Modern Cuisine,1
L'Amphitryon,Lorient,180,EUR,Creative,1
L'Opidom,Fondettes,79,EUR,"Creative, Modern Cuisine",1
Le Bon Accueil,Malbuisson,97,EUR,Modern Cuisine,1
Le Faham by Kelly Rangama,Paris,97,EUR,Modern Cuisine,1
La Gouesnière - Maison Tirel-Guérin,La Gouesnière,125,EUR,Modern Cuisine,1
Les Sources de Fontbelle,Angoulême,92,EUR,Creative,1
Pertinence,Paris,190,EUR,Modern Cuisine,1
Hedone,Toulouse,110,EUR,Creative,1
La Robe,Montaigu,80,EUR,Modern Cuisine,1
Château de Mazan,Mazan,95,EUR,Modern Cuisine,1
Leclere,Montpellier,60,EUR,Modern Cuisine,1
Les Voiles d'Or,Dieppe,85,EUR,"Modern Cuisine, Seafood",1
L'Étang du Moulin,Bonnétage,150,EUR,Modern Cuisine,1
Louis,Paris,110,EUR,Modern Cuisine,1
Chez Michèle,Languimberg,150,EUR,Modern Cuisine,1
Restaurant de Tourrel,Saint-Rémy-de-Provence,150,EUR,Modern Cuisine,1
La Renaissance,Argentan,105,EUR,Modern Cuisine,1
La Sommelière,Lyon,82,EUR,Modern Cuisine,1
Les Trois Rochers,Combrit,115,EUR,Modern Cuisine,1
Hostellerie de la Pointe St-Mathieu,Plougonvelin,105,EUR,Modern Cuisine,1
Le P'tit Polyte,Les Deux-Alpes,115,EUR,Modern Cuisine,1
Sola,Paris,120,EUR,Modern Cuisine,1
Elsa,Monaco,158,EUR,Mediterranean Cuisine,1
Aux Terrasses,Tournus,110,EUR,Modern Cuisine,1
La Scène Thélème,Paris,132,EUR,Modern Cuisine,1
L'Arnsbourg,Baerenthal,139,EUR,Modern Cuisine,1
Les Pêcheurs,Antibes,155,EUR,Mediterranean Cuisine,1
Auberge St-Walfrid,Sarreguemines,136,EUR,Traditional Cuisine,1
Le Champ des Lunes,Lauris,145,EUR,Modern Cuisine,1
Le Foch,Reims,125,EUR,Modern Cuisine,1
Auberge du Cep,Fleurie,84,EUR,Modern Cuisine,1
Les Terraillers,Biot,168,EUR,Creative,1
Le Sérac,Saint-Gervais-les-Bains,68,EUR,Modern Cuisine,1
Les Bories,Gordes,96,EUR,Modern Cuisine,1
La Réserve Rimbaud,Montpellier,110,EUR,Modern Cuisine,1
Girardin - Gastronomique,Colmar,155,EUR,"Modern Cuisine, Creative",1
Le Raisin,Pont-de-Vaux,95,EUR,Modern Cuisine,1
Alcyone,Marseille,139,EUR,Mediterranean Cuisine,1
Oxte,Paris,95,EUR,Mexican,1
La Mare aux Oiseaux,Saint-Joachim,120,EUR,Creative,1
Maison Chabran - La Grande Table,Pont-de-l'Isère,149,EUR,Classic Cuisine,1
Vieux Pont,Belcastel,98,EUR,Modern Cuisine,1
Accents Table Bourse,Paris,125,EUR,Modern Cuisine,1
Lasserre,Paris,272,EUR,Classic Cuisine,1
La Rotonde des Trésoms,Annecy,139,EUR,Modern Cuisine,1
La Flibuste,Villeneuve-Loubet,165,EUR,Modern Cuisine,1
Prairial,Lyon,98,EUR,Modern Cuisine,1
Sushi B,Paris,190,EUR,Japanese,1
La Table de La Butte,Plouider,165,EUR,Modern Cuisine,1
Le Moulin de la Gorce,La Roche-l'Abeille,115,EUR,Classic Cuisine,1
Auberge du Pont,Pont-du-Château,160,EUR,Modern Cuisine,1
Septime,Paris,110,EUR,Modern Cuisine,1
Le Chiberta,Paris,220,EUR,Modern Cuisine,1
Les Berceaux,Epernay,98,EUR,Classic Cuisine,1
Anne,Paris,150,EUR,Contemporary,1
L'Atlantide 1874 - Maison Guého,Nantes,130,EUR,Modern Cuisine,1
Jérôme Nutile,Nîmes,190,EUR,Modern Cuisine,1
Le Bénaton,Beaune,141,EUR,Creative,1
Le Jardin Secret,La Wantzenau,80,EUR,Modern Cuisine,1
La Ville Blanche,Lannion,98,EUR,Modern Cuisine,1
Qui Plume la Lune,Paris,120,EUR,Modern Cuisine,1
Maison Tiegezh,Guer,93,EUR,Modern Cuisine,1
MoSuke,Paris,110,EUR,Modern Cuisine,1
Les Loges,Lyon,135,EUR,Modern Cuisine,1
Le Mascaret,Blainville-sur-Mer,106,EUR,Modern Cuisine,1
L'Odas,Rouen,130,EUR,Creative,1
Moulin de la Tardoire,Montbron,69,EUR,Modern Cuisine,1
Le Fanal,Banyuls-sur-Mer,110,EUR,Modern Cuisine,1
Les Fresques - Château des Vigiers,Monestier,120,EUR,Modern Cuisine,1
Comice,Paris,110,EUR,Modern Cuisine,1
La Petite Maison de Cucuron,Cucuron,95,EUR,Classic Cuisine,1
Assa,Blois,116,EUR,"Creative, Modern Cuisine",1
L'Or Bleu,Théoule-sur-Mer,149,EUR,"Modern Cuisine, Mediterranean Cuisine",1
Au 14 Février,Lyon,98,EUR,Creative,1
Likoké,Les Vans,155,EUR,Creative,1
LuluRouget,Nantes,105,EUR,Modern Cuisine,1
Auberge des Templiers,Boismorand,160,EUR,"Modern Cuisine, Creative",1
Les Ducs de Lorraine,Epinal,190,EUR,Modern Cuisine,1
Étude,Paris,150,EUR,Modern Cuisine,1
Le Refuge des Gourmets,Machilly,110,EUR,Modern Cuisine,1
Le Grand Cerf,Montchenot,160,EUR,Classic Cuisine,1
Le Rigmarole,Paris,79,EUR,"Modern Cuisine, Asian Contemporary",1
Mickaël Féval,Aix-en-Provence,110,EUR,Modern Cuisine,1
Auberge La Fenière,Cadenet,160,EUR,Creative,1
Le Figuier de Saint-Esprit,Antibes,200,EUR,Provençal,1
Baumanière 1850,Courchevel,245,EUR,Modern Cuisine,1
Aux Pesked,Saint-Brieuc,105,EUR,"Seafood, Modern Cuisine",1
Le Cerf,Marlenheim,119,EUR,Modern Cuisine,1
Grand Hôtel du Lion d'Or,Romorantin-Lanthenay,170,EUR,Modern Cuisine,1
Allium,Quimper,118,EUR,Creative,1
Les Funambules,Strasbourg,75,EUR,Modern Cuisine,1
Jin,Paris,500,EUR,Japanese,1
Les Apothicaires,Lyon,96,EUR,Creative,1
Au 14 Février,Saint-Valentin,98,EUR,Modern Cuisine,1
Le M,Brest,120,EUR,Modern Cuisine,1
L'Ostal,Clermont-Ferrand,98,EUR,Modern Cuisine,1
L'Almandin,Saint-Cyprien,125,EUR,Modern Cuisine,1
La Marine,Barneville-Carteret,130,EUR,Modern Cuisine,1
Pont de l'Ouysse,Lacave,136,EUR,"Modern Cuisine, Classic Cuisine",1
Au Gourmet,Drusenheim,82,EUR,Modern Cuisine,1
1912 - Les Cures Marines,Trouville-sur-Mer,145,EUR,Modern Cuisine,1
Marcore,Paris,120,EUR,Modern Cuisine,1
Château de Courban,Courban,129,EUR,Modern Cuisine,1
Benoit,Paris,114,EUR,Classic Cuisine,1
L'Arôme,Paris,185,EUR,Modern Cuisine,1
L'Esquisse,Annecy,90,EUR,Modern Cuisine,1
Le Pavé d'Auge,Beuvron-en-Auge,84,EUR,Classic Cuisine,1
La Magdeleine - Mathias Dandine,Gémenos,170,EUR,Mediterranean Cuisine,1
Shang Palace,Paris,150,EUR,Chinese,1
Val d'Auge,Bondues,114,EUR,Modern Cuisine,1
Le Petit Hôtel du Grand Large,St-Pierre-Quiberon,100,EUR,Seafood,1
L'Atelier de Joël Robuchon - Étoile,Paris,230,EUR,Creative,1
Le Kaïku,Saint-Jean-de-Luz,90,EUR,Modern Cuisine,1
La Dune du Château de Sable,Porspoder,169,EUR,Modern Cuisine,1
Le Verbois,Chantilly,160,EUR,Modern Cuisine,1
Pavyllon,Paris,235,EUR,Modern Cuisine,1
La Table des Blot - Auberge du Château,Dampierre-en-Yvelines,85,EUR,Modern Cuisine,1
Gaya par Pierre Gagnaire,Paris,110,EUR,"Modern Cuisine, Seafood",1
L'Atelier de Joël Robuchon - St-Germain,Paris,175,EUR,"Creative, Modern Cuisine",1
Pilgrim,Paris,150,EUR,Modern Cuisine,1
Azimut,Courchevel,108,EUR,"Modern Cuisine, Traditional Cuisine",1
La Table de la Bergerie,Le Champ-sur-Layon,80,EUR,Modern Cuisine,1
Julien Binz,Ammerschwihr,105,EUR,Modern Cuisine,1
Le Royal,Champillon,280,EUR,Modern Cuisine,1
Agapé,Paris,195,EUR,Modern Cuisine,1
L'Émulsion,Saint-Alban-de-Roche,90,EUR,Modern Cuisine,1
Le Saint-James,Bouliac,170,EUR,Modern Cuisine,1
Miraflores,Lyon,150,EUR,Peruvian,1
Skab,Nîmes,148,EUR,Modern Cuisine,1
Ithurria,Ainhoa,94,EUR,"Modern Cuisine, Classic Cuisine",1
Auberge St-Laurent,Sierentz,95,EUR,"Modern Cuisine, Traditional Cuisine",1
L'Archeste,Paris,190,EUR,Creative,1
Signature,Marseille,110,EUR,Modern Cuisine,1
"114, Faubourg",Paris,150,EUR,Modern Cuisine,1
Auberge de l'Abbaye,Ambronay,105,EUR,Modern Cuisine,1
Le Vivier,L'Isle-sur-la-Sorgue,120,EUR,Modern Cuisine,1
La Table de Nans,La Ciotat,120,EUR,Mediterranean Cuisine,1
L'Oiseau Blanc,Paris,225,EUR,Modern Cuisine,1
Le Hittau,Saint-Vincent-de-Tyrosse,92,EUR,Modern Cuisine,1
La Tour des Vents,Monbazillac,97,EUR,Modern Cuisine,1
Le Prieuré,Ambierle,99,EUR,Modern Cuisine,1
La Table d'Hôtes - Le Quatrième Mur,Bordeaux,170,EUR,Creative,1
La Table d'Olivier,Brive-la-Gaillarde,93,EUR,Modern Cuisine,1
Pantagruel,Paris,85,EUR,Modern Cuisine,1
Ed.Em,Chassagne-Montrachet,90,EUR,Modern Cuisine,1
Ochre,Rueil-Malmaison,115,EUR,Modern Cuisine,1
La Table de Xavier Mathieu,Joucas,230,EUR,Creative,1
Les Climats,Paris,140,EUR,Modern Cuisine,1
Auberge de la Charme,Prenois,96,EUR,Creative,1
JAN,Nice,145,EUR,Creative,1
Les Oliviers,Bandol,149,EUR,Modern Cuisine,1
Le Village,Marly-le-Roi,255,EUR,Modern Cuisine,1
Le Pavillon - Hôtel Westminster,Le Touquet-Paris-Plage,130,EUR,Creative,1
Alan Geaam,Paris,128,EUR,Creative,1
Nicolas Carro - Hôtel de Carantec,Carantec,120,EUR,Modern Cuisine,1
Divellec,Paris,170,EUR,Seafood,1
Maison Decoret,Vichy,140,EUR,Creative,1
Château du Mont Joly,Sampans,115,EUR,Modern Cuisine,1
1741,Strasbourg,155,EUR,"Modern Cuisine, Creative",1
Au Déjeuner de Sousceyrac,Sousceyrac-en-Quercy,100,EUR,Classic Cuisine,1
La Table Breizh Café,Cancale,95,EUR,Modern Cuisine,1
Toya,Faulquemont,120,EUR,Creative,1
Fontevraud Le Restaurant,Fontevraud-l'Abbaye,75,EUR,Creative,1
Loiseau des Ducs,Dijon,128,EUR,Modern Cuisine,1
Rustique,Lyon,80,EUR,Creative,1
Ô Saveurs,Rouffiac-Tolosan,98,EUR,Modern Cuisine,1
Racines,Rennes,80,EUR,Modern Cuisine,1
Les Agitateurs,Nice,119,EUR,Creative,1
Hostellerie de l'Abbaye de la Celle,La Celle,112,EUR,Mediterranean Cuisine,1
Au Souper Fin,Frichemesnil,95,EUR,Modern Cuisine,1
Clovis,Tourrettes-sur-Loup,120,EUR,Modern Cuisine,1
Atmosphères,Le Bourget-du-Lac,160,EUR,Creative,1
Tentazioni,Bordeaux,95,EUR,Italian,1
Armani Ristorante,Paris,200,EUR,Italian,1
A Casa di Ma,Lumio,175,EUR,Creative,1
Ima,Rennes,100,EUR,Creative,1
Maison Kieny,Riedisheim,125,EUR,Modern Cuisine,1
Hostellerie la Montagne,Colombey-les-Deux-Églises,110,EUR,Modern Cuisine,1
Les Explorateurs - Hôtel Pashmina,Val-Thorens,180,EUR,Modern Cuisine,1
Le Colombier,Offranville,90,EUR,Modern Cuisine,1
Le Passe Temps,Lyon,109,EUR,Creative,1
Hervé Busset,Conques,110,EUR,Creative,1
L'Écrin de Yohann Chapuis,Tournus,175,EUR,"Creative, Modern Cuisine",1
Château de Pray,Amboise,120,EUR,Modern Cuisine,1
En Pleine Nature,Quint-Fonsegrives,82,EUR,Modern Cuisine,1
Château de Sully,Bayeux,119,EUR,Modern Cuisine,1
Yam'Tcha,Paris,150,EUR,Creative,1
Il Cortile,Mulhouse,115,EUR,"Mediterranean Cuisine, Italian",1
Le Cap,Saint-Jean-Cap-Ferrat,200,EUR,Creative,1
Oka,Paris,130,EUR,Creative,1
La Table de Philippe Girardon,Chonas-l'Amballan,145,EUR,Modern Cuisine,1
Guy Lassausaie,Chasselay,125,EUR,Modern Cuisine,1
Flaveurs,Valence,98,EUR,Modern Cuisine,1
La Pomme d'Api,Saint-Pol-de-Léon,123,EUR,Creative,1
Terre-Mer au Domaine de Kerdrain,Auray,95,EUR,Modern Cuisine,1
Helen,Paris,170,EUR,Seafood,1
L'O des Vignes,Fuissé,100,EUR,Modern Cuisine,1
Mon Plaisir,Chamesol,110,EUR,Modern Cuisine,1
Le Pot d'Étain,Danjoutin,126,EUR,Modern Cuisine,1
Le Relais des Moines,Les Arcs,118,EUR,Modern Cuisine,1
Les Terrasses de Lyon,Lyon,120,EUR,Modern Cuisine,1
Ivan Vautier,Caen,120,EUR,Modern Cuisine,1
Le Brittany,Roscoff,160,EUR,"Modern Cuisine, Regional Cuisine",1
La Dame de Pic,Paris,165,EUR,Creative,1
Le France,Villers-le-Lac,94,EUR,Modern Cuisine,1
Le Manoir du Lys,Bagnoles-de-l'Orne,120,EUR,Modern Cuisine,1
La Bastide Saint-Antoine,Grasse,193,EUR,Provençal,1
Moulin d'Alotz,Arcangues,104,EUR,"Creative, Modern Cuisine",1
Les Rosiers,Biarritz,125,EUR,Modern Cuisine,1
Le Sergent Recruteur,Paris,160,EUR,Modern Cuisine,1
Auberge de la Brie,Couilly-Pont-aux-Dames,95,EUR,Modern Cuisine,1
Automne,Paris,125,EUR,Modern Cuisine,1
L'Orangerie,Paris,165,EUR,Modern Cuisine,1
Le Belvédère,Bozouls,118,EUR,Modern Cuisine,1
La Gourmandière - La Table d'Olivier,Vannes,95,EUR,Modern Cuisine,1
Le Manoir de la Régate,Nantes,100,EUR,Modern Cuisine,1
Le Haut-Allier,Alleyras,110,EUR,Modern Cuisine,1
Michel Trama,Puymirol,210,EUR,Creative,1
La Huchette,Replonges,110,EUR,Modern Cuisine,1
Maximin Hellio,Deauville,120,EUR,Modern Cuisine,1
Le Millénaire,Reims,160,EUR,"Modern Cuisine, Classic Cuisine",1
L'Atelier Alexandre Bousquet,Biarritz,105,EUR,"Modern Cuisine, Creative",1
Le Sénéchal,Sauveterre-de-Rouergue,155,EUR,Modern Cuisine,1
Ursus,Tignes,148,EUR,Creative,1
La Table d'Hôtes - La Rôtisserie du Chambertin,Gevrey-Chambertin,85,EUR,Modern Cuisine,1
L'Ours,Vincennes,120,EUR,"Modern Cuisine, Creative",1
Logis de la Cadène,Saint-Emilion,105,EUR,Modern Cuisine,1
Le Grand Cap,Leucate,115,EUR,Modern Cuisine,1
Jérémy Galvan,Lyon,125,EUR,Creative,1
Gordon Ramsay au Trianon,Versailles,189,EUR,Creative,1
SEPT,Toulouse,120,EUR,Modern Cuisine,1
Nakatani,Paris,165,EUR,Modern Cuisine,1
ONA,Arès,116,EUR,Vegan,1
Maison Hache,Eygalières,135,EUR,Provençal,1
En Marge,Aureville,150,EUR,Creative,1
Le Clair de la Plume,Grignan,135,EUR,Modern Cuisine,1
Jérôme Feck,Châlons-en-Champagne,132,EUR,Modern Cuisine,1
Au Crocodile,Strasbourg,138,EUR,Classic Cuisine,1
L'Auberge de St-Rémy-de-Provence - Fanny Rey & Jonathan Wahid,Saint-Rémy-de-Provence,200,EUR,Modern Cuisine,1
La Liégeoise,Wimereux,99,EUR,Modern Cuisine,1
Auberge de l'Île Barbe,Lyon,165,EUR,Classic Cuisine,1
Lucas Carton,Paris,185,EUR,Modern Cuisine,1
Un Parfum de Gourmandise,Périgueux,89,EUR,Creative,1
Cibo,Dijon,100,EUR,Modern Cuisine,1
L'Ekrin by Laurent Azoulay,Méribel,215,EUR,Modern Cuisine,1
La Palmeraie - Château de Valmer,La Croix-Valmer,155,EUR,Modern Cuisine,1
La Balette,Collioure,150,EUR,Modern Cuisine,1
Duende,Nîmes,205,EUR,Modern Cuisine,1
L'Oustalet,Gigondas,120,EUR,Modern Cuisine,1
Le Pily,Cherbourg-en-Cotentin,78,EUR,Creative,1
La Nouvelle Auberge,Wihr-au-Val,87,EUR,"Modern Cuisine, Classic Cuisine",1
L'Anthocyane,Lannion,85,EUR,Modern Cuisine,1
La Promenade,Verfeil,110,EUR,Creative,1
Choko Ona,Espelette,72,EUR,"Modern Cuisine, Creative",1
Le Jardin des Plumes,Giverny,120,EUR,Creative,1
Palais Royal Restaurant,Paris,180,EUR,"Creative, Modern Cuisine",1
L'Aupiho - Domaine de Manville,Les Baux-de-Provence,145,EUR,Modern Cuisine,1
La Table de la Mainaz,Gex,139,EUR,Modern Cuisine,1
Frédéric Molina au Moulin de Léré,Vailly,98,EUR,Modern Cuisine,1
Le Carré d'Alethius,Charmes-sur-Rhône,110,EUR,Modern Cuisine,1
Solstice,Paris,120,EUR,Creative,1
Avel Vor,Port-Louis,118,EUR,Modern Cuisine,1
La Rotonde,Charbonnières-les-Bains,139,EUR,Modern Cuisine,1
Château de Vault de Lugny,Vault-de-Lugny,149,EUR,Modern Cuisine,1
Pertica,Vendôme,110,EUR,Creative,1
Ze Kitchen Galerie,Paris,115,EUR,Creative,1
La Closerie,Ansouis,78,EUR,Traditional Cuisine,1
Frenchie,Paris,105,EUR,Modern Cuisine,1
L'Auberge Basque,Saint-Pée-sur-Nivelle,122,EUR,Creative,1
Domaine du Colombier,Malataverne,135,EUR,"Creative, Modern Cuisine",1
La Condesa,Paris,125,EUR,Creative,1
Le Gourmet de Sèze,Lyon,115,EUR,Classic Cuisine,1
Le Panoramic,Tignes,115,EUR,"Traditional Cuisine, Savoyard",1
Pur' - Jean-François Rouquette,Paris,240,EUR,Creative,1
Bruno,Lorgues,195,EUR,Classic Cuisine,1
La Bonne Auberge,Stiring-Wendel,140,EUR,Creative,1
Vincent Favre Félix,Annecy,130,EUR,Creative,1
Château Blanchard,Chazelles-sur-Lyon,130,EUR,Modern Cuisine,1
Le Puits du Trésor,Lastours,120,EUR,Modern Cuisine,1
Transparence - La Table de Patrick Fréchin,Nancy,90,EUR,Modern Cuisine,1
L'Empreinte,Buxy,99,EUR,Modern Cuisine,1
René'Sens par Jean-François Bérard,La Cadière-d'Azur,135,EUR,Modern Cuisine,1
La Ribaudière,Bourg-Charente,122,EUR,"Creative, Modern Cuisine",1
L'Essentiel,Deauville,79,EUR,"Modern Cuisine, Creative",1
Dominique Bouchet,Paris,145,EUR,Classic Cuisine,1
L'Observatoire du Gabriel,Bordeaux,160,EUR,"Modern Cuisine, Creative",1
Le Marcq,Marcq-en-Barœul,76,EUR,Modern Cuisine,1
La Table du Gourmet,Riquewihr,162,EUR,"Creative, Modern Cuisine",1
L'Axel,Fontainebleau,160,EUR,Modern Cuisine,1
Auberge Grand'Maison,Mûr-de-Bretagne,77,EUR,Traditional Cuisine,1
Lait Thym Sel,Angers,92,EUR,Creative,1
La Grande Cascade,Paris,215,EUR,Modern Cuisine,1
Haut Bonheur de la Table,Cassel,60,EUR,Modern Cuisine,1
Le Baudelaire,Paris,150,EUR,Modern Cuisine,1
Les Genêts,Brem-sur-Mer,75,EUR,Modern Cuisine,1
La Barbacane,Carcassonne,130,EUR,Classic Cuisine,1
Colette,Saint-Tropez,146,EUR,Modern Cuisine,1
Le Charlemagne,Pernand-Vergelesses,100,EUR,Creative,1
La Table d'Uzès,Uzès,125,EUR,Modern Cuisine,1
Soléna,Bordeaux,98,EUR,Modern Cuisine,1
Albert 1er,Chamonix-Mont-Blanc,176,EUR,Classic Cuisine,1
Pollen,Avignon,80,EUR,Creative,1
L'Hysope,La Jarrie,145,EUR,Creative,1
Le Jardin de Berne,Lorgues,260,EUR,Modern Cuisine,1
La Table - Hôtel Clarance,Lille,115,EUR,Modern Cuisine,1
La Table des Merville,Castanet-Tolosan,110,EUR,Modern Cuisine,1
La Table du Connétable - Auberge du Jeu de Paume,Chantilly,145,EUR,Modern Cuisine,1
Le Donjon - Domaine Saint-Clair,Etretat,110,EUR,Modern Cuisine,1
Le Corot,Ville-d'Avray,150,EUR,Creative,1
Restaurant Pierre Grein,Manosque,150,EUR,Modern Cuisine,1
La Mère Germaine,Châteauneuf-du-Pape,130,EUR,Modern Cuisine,1
La Table de Castigno,Assignan,110,EUR,Modern Cuisine,1
La Table de la Ferme,Murtoli,305,EUR,"Corsican, Modern Cuisine",1
Le Prince Noir - Vivien Durand,Lormont,125,EUR,Modern Cuisine,1
Buerehiesel,Strasbourg,119,EUR,Modern Cuisine,1
Villa de l'Étang Blanc,Seignosse,85,EUR,Modern Cuisine,1
Le Gindreau,Saint-Médard,159,EUR,Creative,1
Auberge au Bœuf,Sessenheim,102,EUR,Modern Cuisine,1
